produccion_toneladas,año,id_municipio,subregion
10320.0,2017,76054,Norte
1536.0,2017,76126,Centro
80.0,2017,76130,Sur
1992.0,2017,76113,Centro
26055.0,2017,76122,Centro
11205.0,2017,76020,Norte
231.0,2017,76001,Sur
1020.0,2017,76036,Centro
1548.0,2017,76147,Norte
1416.0,2017,76520,Sur
100.0,2017,76563,Sur
1184.0,2017,76403,Norte
4416.0,2017,76497,Norte
3818.0,2017,76606,Centro
43200.0,2017,76736,Centro
29788.0,2017,76616,Centro
660.0,2017,76622,Norte
252.0,2017,76400,Norte
30792.0,2017,76246,Norte
730.0,2017,76250,Norte
4375.0,2017,76233,Sur
13000.0,2017,76243,Norte
5400.0,2017,76275,Sur
651.0,2017,76364,Sur
2184.0,2017,76377,Sur
400.0,2017,76306,Sur
992.0,2017,76318,Centro
40.0,2016,76892,Sur
87.0,2016,76895,Norte
1230.0,2016,76823,Norte
46176.0,2016,76736,Centro
38522.0,2016,76828,Centro
684.0,2016,76622,Norte
1408.0,2016,76869,Sur
1730.0,2016,76863,Norte
9968.0,2016,76890,Centro
3704.0,2016,76834,Centro
2655.0,2016,76845,Norte
9600.0,2016,76054,Norte
5551.0,2016,76100,Norte
150.0,2016,76036,Centro
4554.0,2016,76041,Norte
1960.0,2016,76113,Centro
1504.0,2016,76126,Centro
26514.0,2016,76122,Centro
1218.0,2016,76109,Pacifico
210.0,2016,76111,Centro
10000.0,2016,76020,Norte
161.0,2016,76001,Sur
179.0,2016,76400,Norte
2440.0,2016,76403,Norte
1208.0,2016,76364,Sur
2152.0,2016,76377,Sur
5184.0,2016,76606,Centro
28112.0,2016,76616,Centro
3348.0,2016,76497,Norte
70.0,2016,76563,Sur
1692.0,2016,76520,Sur
22374.0,2016,76233,Sur
66420.0,2016,76246,Norte
15210.0,2016,76243,Norte
80.0,2016,76130,Sur
1494.0,2016,76147,Norte
1071.0,2016,76306,Sur
3276.0,2016,76275,Sur
712.0,2016,76318,Centro
650.0,2016,76250,Norte
75.0,2015,76892,Sur
99.0,2015,76895,Norte
1000.0,2015,76823,Norte
34030.0,2015,76828,Centro
624.0,2015,76622,Norte
18250.0,2015,76736,Centro
1225.0,2015,76869,Sur
9930.0,2015,76890,Centro
3696.0,2015,76834,Centro
5200.0,2015,76845,Norte
1824.0,2015,76863,Norte
4992.0,2015,76100,Norte
910.0,2015,76109,Pacifico
18552.0,2015,76054,Norte
500.0,2015,76036,Centro
8280.0,2015,76041,Norte
24723.0,2015,76122,Centro
1560.0,2015,76126,Centro
210.0,2015,76111,Centro
1960.0,2015,76113,Centro
173.0,2015,76001,Sur
5275.0,2015,76020,Norte
1842.0,2015,76403,Norte
3990.0,2015,76497,Norte
714.0,2015,76364,Sur
2152.0,2015,76377,Sur
171.0,2015,76400,Norte
34210.0,2015,76616,Centro
3888.0,2015,76606,Centro
1368.0,2015,76520,Sur
70.0,2015,76563,Sur
6808.0,2015,76243,Norte
31320.0,2015,76246,Norte
26400.0,2015,76233,Sur
95.0,2015,76130,Sur
1440.0,2015,76147,Norte
666.0,2015,76306,Sur
735.0,2015,76318,Centro
850.0,2015,76250,Norte
2856.0,2015,76275,Sur
100.0,2014,76892,Sur
108.0,2014,76895,Norte
24858.0,2014,76736,Centro
1030.0,2014,76823,Norte
672.0,2014,76622,Norte
41760.0,2014,76828,Centro
3340.0,2014,76863,Norte
1211.0,2014,76869,Sur
10520.0,2014,76890,Centro
3776.0,2014,76834,Centro
5200.0,2014,76845,Norte
22995.0,2014,76054,Norte
4888.0,2014,76100,Norte
760.0,2014,76036,Centro
8280.0,2014,76041,Norte
840.0,2014,76109,Pacifico
24228.0,2014,76122,Centro
1604.0,2014,76126,Centro
1960.0,2014,76113,Centro
210.0,2014,76111,Centro
2750.0,2014,76020,Norte
248.0,2014,76001,Sur
221.0,2014,76400,Norte
1818.0,2014,76403,Norte
952.0,2014,76364,Sur
2132.0,2014,76377,Sur
3405.0,2014,76606,Centro
41112.0,2014,76616,Centro
3720.0,2014,76497,Norte
70.0,2014,76563,Sur
1368.0,2014,76520,Sur
27600.0,2014,76233,Sur
30800.0,2014,76246,Norte
5844.0,2014,76243,Norte
85.0,2014,76130,Sur
1440.0,2014,76147,Norte
1100.0,2014,76306,Sur
704.0,2014,76318,Centro
5600.0,2014,76275,Sur
900.0,2014,76250,Norte
3280.0,2013,76863,Norte
13629.0,2013,76845,Norte
1183.0,2013,76869,Sur
79650.0,2013,76828,Centro
3776.0,2013,76834,Centro
92.0,2013,76895,Norte
9269.0,2013,76890,Centro
100.0,2013,76892,Sur
70.0,2013,76563,Sur
3466.0,2013,76606,Centro
3528.0,2013,76497,Norte
1320.0,2013,76520,Sur
18250.0,2013,76736,Centro
1020.0,2013,76823,Norte
79650.0,2013,76616,Centro
636.0,2013,76622,Norte
1818.0,2013,76403,Norte
248.0,2013,76001,Sur
480.0,2013,76020,Norte
